,соотношение матрица-наполнитель,"плотность, кг/м3","модуль упругости, гпа","количество отвердителя, м.%","содержание эпоксидных групп,%_2","температура вспышки, с_2","поверхностная плотность, г/м2","модуль упругости при растяжении, гпа","прочность при растяжении, мпа","потребление смолы, г/м2","угол нашивки, град",шаг нашивки,плотность нашивки
0,0.2747681573441284,0.6510974334379016,0.4464215887536923,0.0791527229972539,0.6074352788639465,0.5091642558680447,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.28933398479445543,0.5524400221226472
1,0.2747681573441284,0.6510974334379016,0.4464215887536923,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.36235458543436677,0.3287669403990571
2,0.4665524311847129,0.6510974334379016,0.4550917979798423,0.511256821226667,0.4956530602298741,0.5091642558680447,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.36235458543436677,0.500823157109511
3,0.46583643656237606,0.5715393459875102,0.4520524257418931,0.511256821226667,0.4956530602298741,0.5091642558680447,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.36235458543436677,0.5524400221226472
4,0.4242362426822196,0.3328650836363387,0.48791701814969407,0.511256821226667,0.4956530602298741,0.5091642558680447,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.36235458543436677,0.7244962388331012
5,0.42252756512348477,0.3063457211528746,0.3225751684052555,0.511256821226667,0.4956530602298741,0.5091642558680447,0.2933551824136333,0.5954859506743171,0.2253568308752416,0.1906590543540749,0.0,0.5083957867141894,0.3287669403990571
6,0.6313787897051696,0.3859038086032651,0.5377627228520616,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.2933551824136333,0.5954859506743171,0.2253568308752416,0.1906590543540749,0.0,0.5083957867141894,0.500823157109511
7,0.6262014211546278,0.8367329708221467,0.8611519289698606,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.7818514396616667,0.78459586662074,0.3073633372599349,0.8000713841974973,0.0,0.5083957867141894,0.5524400221226472
8,0.49767357136718815,0.9958491457229277,0.5645091985460149,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.7818514396616667,0.78459586662074,0.3073633372599349,0.8000713841974973,0.0,0.5083957867141894,0.7244962388331012
9,0.48879554714093587,0.545019983504047,0.986981939620959,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.7818514396616667,0.78459586662074,0.3073633372599349,0.8000713841974973,0.0,0.6544369879940121,0.3287669403990571
10,0.22043990524693394,0.4389425335701924,0.500074507101491,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.3631403620204952,0.49042488625963543,0.49415593513617895,0.5292214598226429,0.0,0.6544369879940121,0.500823157109511
11,0.49767357136718815,0.5185006210205838,0.3426350251757205,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.3631403620204952,0.49042488625963543,0.49415593513617895,0.5292214598226429,0.0,0.6544369879940121,0.5524400221226472
12,0.7304207794306854,0.3328650836363387,0.48366189701656515,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.3631403620204952,0.49042488625963543,0.49415593513617895,0.5292214598226429,0.0,0.6544369879940121,0.7244962388331012
13,0.5008423475545187,0.6510974334379016,0.18094042211682101,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.7274575886339234,0.3287669403990571
14,0.6313787897051696,0.2533069961859473,0.18762704104030933,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.16153873204511635,0.2803027574302783,0.717395869183402,0.5292214598226429,0.0,0.7274575886339234,0.500823157109511
15,0.7649143192932504,0.4389425335701924,0.30494680942514996,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.2933551824136333,0.5954859506743171,0.2253568308752416,0.1906590543540749,0.0,0.7274575886339234,0.5524400221226472
16,0.9126901415771489,0.2798263586694114,0.3256145406432048,0.6309830456633327,0.4188869582763597,0.5835962428969839,0.2933551824136333,0.5954859506743171,0.2253568308752416,0.1906590543540749,0.0,0.7274575886339234,0.7244962388331012
17,0.48879554714093587,0.5715393459875102,0.12197660070060579,0.511256821226667,0.4956530602298741,0.5091642558680447,0.7818514396616667,0.78459586662074,0.3073633372599349,0.8000713841974973,1.0,0.28933398479445543,0.3287669403990571
18,0.22043990524693394,0.3593844461198019,0.27455308704565756,0.511256821226667,0.4956530602298741,0.5091642558680447,0.3631403620204952,0.49042488625963543,0.49415593513617895,0.5292214598226429,1.0,0.28933398479445543,0.500823157109511
19,0.7304207794306854,0.2533069961859473,0.37546024534557226,0.511256821226667,0.4956530602298741,0.5091642558680447,0.3631403620204952,0.49042488625963543,0.49415593513617895,0.5292214598226429,1.0,0.28933398479445543,0.5524400221226472
20,0.4279552084499407,0.4476274295676843,0.6882700864102139,0.6912472450114009,0.5014359449715364,0.2677513550728128,0.42974136276112246,0.9613015437920973,0.5481930676420658,0.6193234673392243,1.0,0.28933398479445543,0.7244962388331012
21,0.31448672871438,0.6713365101728526,0.42747660101639184,0.43970923513915877,0.561911630310034,0.6431394760607974,0.4233116395847908,0.5209178066172786,0.5632344649778022,0.38769748513100466,1.0,0.36235458543436677,0.500823157109511
22,0.27462829534014743,0.6198585037808417,0.5057243241589495,0.6757001377564842,0.8099749856252862,0.7166936230004697,0.1157607773769461,0.7348449292321462,0.5013854807221848,0.201982481992287,1.0,0.36235458543436677,0.5524400221226472
23,0.5786212545403948,0.35383528640517437,0.28810032733609986,0.4688352463632323,0.1642788412840379,0.7198103269609937,0.4070989456476448,0.4281683550622599,0.7416013160372138,0.717380494392978,1.0,0.36235458543436677,0.7244962388331012
24,0.4535924629097704,0.28531884696739773,0.3870418032901015,0.4044063572456474,0.5500630840169749,0.40437793165562885,0.6225804301780802,0.5646836785910425,0.4258493623218714,0.21373661520005607,1.0,0.5083957867141894,0.3287669403990571
25,0.36407055781363273,0.5937031467193341,0.23684500927432767,0.773291231240089,0.44994091769877076,0.7311510822169198,0.4138287955275051,0.42181522535322724,0.5962087374076147,0.6682929815715436,1.0,0.5083957867141894,0.500823157109511
26,0.3001517516306754,0.5016053913895364,0.6002060750864701,0.7732863103087428,0.30580154977178586,0.2548883945606122,0.37512308065754696,0.6374494761096257,0.4914446047348796,0.33452672565094055,1.0,0.5083957867141894,0.5524400221226472
27,0.25678810470297,0.23339509167408146,0.4842903677946386,0.2872734187758977,0.49779848211342803,0.7806845821717037,0.6693648510995384,0.3400357442461628,0.6340712729452828,0.2020221033920421,1.0,0.5083957867141894,0.7244962388331012
28,0.5726531591053657,0.5981833810960957,0.2037663646072748,0.2013865835996571,0.6474534547794828,0.36563634360166786,0.08984239551060105,0.12136889812610008,0.49704659490895475,0.4852712563943695,1.0,0.6544369879940121,0.3287669403990571
29,0.5112434781568345,0.33900547400484893,0.7165336409666371,0.6627586981693268,0.5707661425885493,0.6561486849285936,0.29133064412488785,0.6137950821672122,0.4319191885295598,0.4634734848903217,1.0,0.6544369879940121,0.500823157109511
30,0.49693339968659567,0.25322702878354075,0.6072246438974658,0.4929523332955465,0.7532027003114417,0.5548025919027486,0.3153408011332494,0.3875189784415003,0.7528826249603998,0.43507118926949906,1.0,0.6544369879940121,0.5524400221226472
31,0.5664708001150089,0.07624941173109434,0.4580548692040674,0.29834720716529023,0.5827328271455188,0.48238438889250235,0.4446051437336847,0.2387699886914323,0.7945378962850899,0.6405088482694636,1.0,0.6544369879940121,0.7244962388331012
